Core_Class_ID,Core_Class_Name,Potential_Regional_Equivalent,Cuisine,Match_Type,Confidence,Evidence
0,almond,Almond / Badam,Global / Raw Ingredient,No Match,High,Raw nut ingredient in dataset/custom_training_data/data.yaml
1,aloogobi,Aloo Gobi,Punjabi,Partial Match,High,North Indian potato-cauliflower curry; recipe in recipes.xlsx
2,aloomasala,Aloo Masala,South Indian / Punjabi,Partial Match,High,Potato stuffing for Dosa / Paratha; recipe in recipes.xlsx
3,apple,Apple,Global / Raw Ingredient,No Match,High,Fresh fruit ingredient
4,artichoke,Artichoke,Global / Raw Ingredient,No Match,High,International vegetable ingredient
5,ash gourd -kubhindo-,Kubhindo / Petha Gourd,Regional / Nepali,No Match,High,Regional specialty vegetable
6,asparagus,Asparagus,Global / Raw Ingredient,No Match,High,International vegetable ingredient
7,avocado,Avocado,Global / Raw Ingredient,No Match,High,International fruit ingredient
8,bamboo shoots -tama-,Tama / Bamboo Shoot,Regional / Nepali,No Match,High,Regional specialty ingredient
9,banana,Banana,Global / Raw Ingredient,No Match,High,Fresh fruit ingredient
10,beans,Green Beans / Poriyal ingredient,South Indian / Global,Partial Match,Medium,Common side dish ingredient
11,beet,Beetroot,Global / Raw Ingredient,No Match,High,Fresh root vegetable ingredient
12,bell pepper,Capsicum / Shimla Mirch,Global / North Indian,Alias,High,Synonym for capsicum in ingredient_matcher.py
13,bhatura,Bhatura,Punjabi,Partial Match,High,Deep-fried bread paired with Chole; recipe in recipes.xlsx
14,bhindimasala,Bhindi Masala / Okra Fry,Punjabi,Partial Match,High,North Indian okra dish; recipe in recipes.xlsx
15,biryani,Biryani (Hyderabadi / Lucknowi / Kolkata),South Indian / Punjabi / Bengali,Partial Match,High,Spiced rice dish across regional cuisines; recipe in recipes.xlsx
16,bitter gourd,Karela,North Indian / South Indian,Partial Match,High,Regional vegetable curry ingredient
17,black beans,Black Beans,Global / Mexican,Partial Match,Medium,Ingredient in Mexican cuisine (tacos burritos)
18,blackberry,Blackberry,Global / Raw Ingredient,No Match,High,International fruit ingredient
19,blueberry,Blueberry,Global / Raw Ingredient,No Match,High,International fruit ingredient
20,bottle gourd -lauka-,Lauki / Dudhi,North Indian / Gujarati,Partial Match,High,Gourd vegetable used in curries and halwa
21,bread,Bread / Toast,Global / Continental,No Match,High,Western staple food item
22,brinjal,Baingan / Eggplant,South Indian / Bengali / Maharashtrian,Alias,High,Synonym for eggplant in ingredient_matcher.py
23,broad beans -bakullo-,Bakullo / Broad Beans,Regional / Nepali,No Match,High,Regional specialty legume
24,broccoli,Broccoli,Global / Italian,No Match,High,International vegetable ingredient
25,brussels sprouts,Brussels Sprouts,Global / Raw Ingredient,No Match,High,International vegetable ingredient
26,buff meat,Water Buffalo Meat,Regional / South Asian,No Match,High,Regional meat ingredient
27,cabbage,Cabbage / Patta Gobi,Global / Indian,Partial Match,Medium,Ingredient in South Indian poriyal and Indo-Chinese chow mein
28,capsicum,Bell Pepper / Shimla Mirch,Global / North Indian,Alias,High,Synonym for bell pepper in ingredient_matcher.py
29,carrot,Gajar,Global / North Indian,Partial Match,Medium,Raw ingredient in Gajar Halwa salads stir-fries
30,cauliflower,Phool Gobi,Global / Punjabi,Partial Match,Medium,Raw ingredient in Aloo Gobi Paratha
31,celery,Celery,Global / Italian,No Match,High,Western soup/salad ingredient
32,chai,Masala Chai,North Indian / General Indian,Partial Match,High,Indian spiced tea beverage
33,cherry,Cherry,Global / Raw Ingredient,No Match,High,International fruit ingredient
34,chicken,Chicken,Global / Indian,Partial Match,Medium,Base protein ingredient across chicken curries
35,chicken gizzards,Chicken Gizzard,Regional / Specialty,No Match,High,Meat offal ingredient
36,chickpeas,Chana / Kabuli Chana,Punjabi / Middle Eastern,Partial Match,High,Base ingredient for Chole and Hummus
37,chili pepper -khursani-,Khursani / Green Chili,Regional / South Asian,Partial Match,High,Hot pepper spice ingredient
38,chole,Chole / Amritsari Chole,Punjabi,Exact Match,High,Traditional Punjabi chickpea curry; recipe in recipes.xlsx
39,coconutchutney,Coconut Chutney,South Indian,Exact Match,High,Traditional South Indian condiment for Dosa/Idli; recipe in recipes.xlsx
40,corn,Sweet Corn,Global / Mexican / American,Partial Match,Medium,Ingredient in tacos soups street snacks
41,cucumber,Cucumber / Kakdi,Global / Indian,Partial Match,Medium,Raw salad/raita ingredient
42,dal,Dal (Tadka / Makhani / Fry),Punjabi / Gujarati / South Indian,Partial Match,High,Staple lentil soup across all Indian regional cuisines; recipe in recipes.xlsx
43,dosa,Dosa (Plain / Masala),South Indian,Exact Match,High,Traditional South Indian fermented crepe; recipe in recipes.xlsx
44,dumaloo,Dum Aloo (Kashmiri / Punjabi / Bengali),Bengali / Punjabi,Partial Match,High,Potato curry prepared across regional styles; recipe in recipes.xlsx
45,egg,Egg (Boiled / Omlette / Bhurji),Global / Eggetarian,Partial Match,Medium,Common breakfast protein
46,eggplant,Baingan / Aubergine,South Indian / Bengali / Maharashtrian,Alias,High,Synonym for brinjal in ingredient_matcher.py
47,farsi ko munta,Farsi Ko Munta (Pumpkin Shoots),Regional / Nepali,No Match,High,Regional specialty green leafy vegetable
48,fiddlehead ferns -niguro-,Niguro / Fiddlehead Fern,Regional / Nepali,No Match,High,Wild edible fern specialty
49,fish,Fish,Global / Bengali / South Indian,Partial Match,Medium,Raw seafood protein ingredient
50,fishcurry,Fish Curry (Machher Jhol / Meen Kuzhambu),Bengali / South Indian,Partial Match,High,Regional fish curry dish; recipe in recipes.xlsx
51,garlic,Lahsun,Global / Indian,Partial Match,High,Universal aromatic ingredient
52,ghevar,Ghevar,Rajasthani,Exact Match,High,Traditional Rajasthani sweet disc cake; recipe in recipes.xlsx
53,grape,Grapes,Global / Raw Ingredient,No Match,High,Fresh fruit ingredient
54,green bean,Green Beans,Global / South Indian,Partial Match,Medium,Vegetable ingredient in South Indian poriyal
55,green brinjal,Green Eggplant,South Indian / Regional,Partial Match,Medium,Regional green aubergine variant
56,green gram,Moong Dal,Indian,Partial Match,Medium,Lentil legume ingredient
57,green lentils,Green Lentils,Global / Indian,Partial Match,Medium,Legume ingredient
